Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Salesperson,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Cost
1,CA-2017-152156,08/11/2017,11/11/2017,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,170.274
2,CA-2017-152156,08/11/2017,11/11/2017,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,475.761
3,CA-2017-138688,12/06/2017,16/06/2017,Second Class,DV-13045,Sean O'Donnell,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,9.503
4,US-2016-108966,11/10/2016,18/10/2016,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.58,622.425375
5,US-2016-108966,11/10/2016,18/10/2016,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.37,14.5392
6,CA-2015-115812,09/06/2015,14/06/2015,Standard Class,BH-11710,Sandra Flanagan,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,31.759
7,CA-2015-115812,09/06/2015,14/06/2015,Standard Class,BH-11710,Sandra Flanagan,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4.732
8,CA-2015-115812,09/06/2015,14/06/2015,Standard Class,BH-11710,Sandra Flanagan,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.15,589.6488
9,CA-2015-115812,09/06/2015,14/06/2015,Standard Class,BH-11710,Sandra Flanagan,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.50,12.0276
10,CA-2015-115812,09/06/2015,14/06/2015,Standard Class,BH-11710,Sandra Flanagan,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.90,74.685
11,CA-2015-115812,09/06/2015,14/06/2015,Standard Class,BH-11710,Sandra Flanagan,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.18,1109.0196
12,CA-2015-115812,09/06/2015,14/06/2015,Standard Class,BH-11710,Sandra Flanagan,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.42,592.4256
13,CA-2018-114412,15/04/2018,20/04/2018,Standard Class,AA-10480,Sean O'Donnell,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.55,10.1088
14,CA-2017-161389,05/12/2017,10/12/2017,Standard Class,IM-15070,Sean O'Donnell,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.98,265.1844
15,US-2016-118983,22/11/2016,26/11/2016,Standard Class,HP-14815,Sean O'Donnell,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,44.7265
16,US-2016-118983,22/11/2016,26/11/2016,Standard Class,HP-14815,Sean O'Donnell,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.54,1.6536
17,CA-2015-105893,11/11/2015,18/11/2015,Standard Class,PK-19075,Mike Vittorini,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,432.822
18,CA-2015-167164,13/05/2015,15/05/2015,Second Class,AG-10270,Pete Kriz,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.50,36.075
19,CA-2015-143336,27/08/2015,01/09/2015,Second Class,ZD-21925,Pete Kriz,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,5.564
20,CA-2015-143336,27/08/2015,01/09/2015,Second Class,ZD-21925,Pete Kriz,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,138.762
21,CA-2015-143336,27/08/2015,01/09/2015,Second Class,ZD-21925,Pete Kriz,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,14.768
22,CA-2017-137330,09/12/2017,13/12/2017,Standard Class,KB-16585,Claire Gute,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,12.649
23,CA-2017-137330,09/12/2017,13/12/2017,Standard Class,KB-16585,Claire Gute,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,39.221
24,US-2018-156909,16/07/2018,18/07/2018,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.37,46.3918
25,CA-2016-106320,25/09/2016,30/09/2016,Standard Class,EB-13870,Patrick O'Donnell,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,679.0095
26,CA-2017-121755,16/01/2017,20/01/2017,Second Class,EH-13945,Patrick O'Donnell,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.65,7.5712
27,CA-2017-121755,16/01/2017,20/01/2017,Second Class,EH-13945,Patrick O'Donnell,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,58.8705
28,US-2016-150630,17/09/2016,21/09/2016,Standard Class,TB-21520,Claire Gute,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,2004.2295
29,US-2016-150630,17/09/2016,21/09/2016,Standard Class,TB-21520,Claire Gute,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.62,6.2517
30,US-2016-150630,17/09/2016,21/09/2016,Standard Class,TB-21520,Claire Gute,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.20,80.73
31,US-2016-150630,17/09/2016,21/09/2016,Standard Class,TB-21520,Claire Gute,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.26,2.1216
32,US-2016-150630,17/09/2016,21/09/2016,Standard Class,TB-21520,Claire Gute,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.30,56.0976
33,US-2016-150630,17/09/2016,21/09/2016,Standard Class,TB-21520,Claire Gute,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.86,4.4577
34,US-2016-150630,17/09/2016,21/09/2016,Standard Class,TB-21520,Claire Gute,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,10.244
35,CA-2018-107727,19/10/2018,23/10/2018,Second Class,MA-17560,Pete Kriz,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.47,19.1568
36,CA-2017-117590,08/12/2017,10/12/2017,First Class,GH-14485,Pete Kriz,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.54,713.4036
37,CA-2017-117590,08/12/2017,10/12/2017,First Class,GH-14485,Pete Kriz,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,124.098
38,CA-2016-117415,27/12/2016,31/12/2016,Standard Class,SN-20710,Pete Kriz,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.33,73.6632
39,CA-2016-117415,27/12/2016,31/12/2016,Standard Class,SN-20710,Pete Kriz,Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.40,346.05948
40,CA-2016-117415,27/12/2016,31/12/2016,Standard Class,SN-20710,Pete Kriz,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.06,137.8377
41,CA-2016-117415,27/12/2016,31/12/2016,Standard Class,SN-20710,Pete Kriz,Home Office,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.17,241.2592
42,CA-2018-120999,10/09/2018,15/09/2018,Standard Class,LC-16930,Pete Kriz,Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.17,95.6592
43,CA-2017-101343,17/07/2017,22/07/2017,Standard Class,RA-19885,Pete Kriz,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,50.622
44,CA-2018-139619,19/09/2018,23/09/2018,Standard Class,ES-14080,Pete Kriz,Corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.62,62.1504
45,CA-2017-118255,11/03/2017,13/03/2017,First Class,ON-18715,Pete Kriz,Corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,29.887
46,CA-2017-118255,11/03/2017,13/03/2017,First Class,ON-18715,Pete Kriz,Corporate,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,11.349
47,CA-2015-146703,20/10/2015,25/10/2015,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,137.774
48,CA-2017-169194,20/06/2017,25/06/2017,Standard Class,LH-16900,Patrick O'Donnell,Consumer,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,,,
49,CA-2017-169194,20/06/2017,25/06/2017,Standard Class,LH-16900,Patrick O'Donnell,Consumer,United States,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.80,14.17
50,CA-2016-115742,18/04/2016,22/04/2016,Standard Class,DP-13000,Patrick O'Donnell,Consumer,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,24.843
51,CA-2016-115742,18/04/2016,22/04/2016,Standard Class,DP-13000,Patrick O'Donnell,Consumer,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,48.867
52,CA-2016-115742,18/04/2016,22/04/2016,Standard Class,DP-13000,Patrick O'Donnell,Consumer,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,4.004
53,CA-2016-115742,18/04/2016,22/04/2016,Standard Class,DP-13000,Patrick O'Donnell,Consumer,United States,New Albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,58.4935
54,CA-2017-105816,11/12/2017,17/12/2017,Standard Class,JM-15265,Patrick O'Donnell,Corporate,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,9.919
55,CA-2017-105816,11/12/2017,17/12/2017,Standard Class,JM-15265,Patrick O'Donnell,Corporate,United States,New York City,New York,10024,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,669.4675
56,CA-2017-111682,17/06/2017,18/06/2017,First Class,TB-21055,Patrick O'Donnell,Consumer,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,135.564
57,CA-2017-111682,17/06/2017,18/06/2017,First Class,TB-21055,Patrick O'Donnell,Consumer,United States,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.40,21.06
58,CA-2017-111682,17/06/2017,18/06/2017,First Class,TB-21055,Patrick O'Donnell,Consumer,United States,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,207.6165
59,CA-2017-111682,17/06/2017,18/06/2017,First Class,TB-21055,Patrick O'Donnell,Consumer,United States,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,9.464
